X1,Y1,X2,Y2,X3,Y3
151.5727,-33.2907,151.315,-33.5558,151.2046,-33.533
151.5726,-33.2908,151.315,-33.5558,151.2046,-33.5329
151.5726,-33.291,151.315,-33.5558,151.2045,-33.5329
151.5726,-33.2911,151.315,-33.5557,151.2045,-33.5329
151.5726,-33.2912,151.315,-33.5557,151.2045,-33.5328
151.5725,-33.2913,151.315,-33.5557,151.2045,-33.5328
151.5721,-33.2913,151.315,-33.5557,151.2045,-33.5327
151.5719,-33.2912,151.315,-33.5557,151.2045,-33.5326
151.5717,-33.2911,151.315,-33.5556,151.2045,-33.5325
151.5714,-33.2911,151.315,-33.5556,151.2048,-33.5323
151.5712,-33.2909,151.315,-33.5556,151.2052,-33.5321
151.5711,-33.2908,151.315,-33.5556,151.2053,-33.5321
151.571,-33.2906,151.315,-33.5555,151.2056,-33.532
151.5708,-33.2904,151.315,-33.5555,151.2059,-33.5318
151.5706,-33.2903,151.315,-33.5555,151.2064,-33.5316
151.5705,-33.2902,151.315,-33.5555,151.2066,-33.5316
151.5705,-33.29,151.3151,-33.5555,151.2067,-33.5315
151.5706,-33.2899,151.3151,-33.5555,151.2068,-33.5315
151.5708,-33.2898,151.3151,-33.5554,151.2069,-33.5314
151.571,-33.2896,151.3151,-33.5554,151.2071,-33.5313
151.571,-33.2894,151.3152,-33.5554,151.2073,-33.5313
151.5711,-33.2893,151.3152,-33.5554,151.2076,-33.5311
151.5712,-33.2893,151.3152,-33.5554,151.2079,-33.5309
151.5713,-33.2893,151.3152,-33.5553,151.2083,-33.5308
151.5714,-33.2893,151.3153,-33.5553,151.2085,-33.5307
151.5717,-33.2894,151.3153,-33.5553,151.2086,-33.5306
151.5719,-33.2894,151.3153,-33.5553,151.2088,-33.5305
151.572,-33.2895,151.3153,-33.5553,151.209,-33.5304
151.572,-33.2895,151.3153,-33.5553,151.2091,-33.5304
151.572,-33.2897,151.3154,-33.5552,151.2095,-33.5302
151.572,-33.2898,151.3154,-33.5552,151.2096,-33.5301
151.5721,-33.2899,151.3154,-33.5552,151.2098,-33.53
151.5722,-33.2899,151.3155,-33.5552,151.2106,-33.5291
151.5723,-33.2899,151.3155,-33.5552,151.2108,-33.5289
151.5724,-33.2901,151.3155,-33.5552,151.2113,-33.5285
151.5725,-33.2902,151.3155,-33.5552,151.2114,-33.5283
151.5726,-33.2904,151.3155,-33.5552,151.2117,-33.528
151.5727,-33.2905,151.3155,-33.5552,151.2119,-33.5279
151.5727,-33.2907,151.3156,-33.5551,151.2122,-33.5278
,,151.3156,-33.5551,151.2122,-33.5278
,,151.3156,-33.5551,151.2124,-33.5278
,,151.3156,-33.5551,151.2125,-33.5278
,,151.3157,-33.5551,151.2128,-33.528
,,151.3157,-33.5551,151.2131,-33.5282
,,151.3157,-33.5551,151.2132,-33.5283
,,151.3157,-33.5551,151.2135,-33.5284
,,151.3157,-33.5551,151.2137,-33.5285
,,151.3158,-33.5551,151.2139,-33.5285
,,151.3158,-33.555,151.2143,-33.5285
,,151.3158,-33.555,151.215,-33.5283
,,151.3158,-33.555,151.2153,-33.5284
,,151.3158,-33.555,151.2157,-33.5284
,,151.3159,-33.555,151.2158,-33.5285
,,151.3159,-33.555,151.2159,-33.5287
,,151.3159,-33.5551,151.2161,-33.5289
,,151.3159,-33.5551,151.2162,-33.5293
,,151.3159,-33.5551,151.2163,-33.5294
,,151.316,-33.5551,151.2163,-33.5294
,,151.316,-33.5552,151.2164,-33.5295
,,151.316,-33.5552,151.2165,-33.5296
,,151.316,-33.5552,151.2165,-33.5296
,,151.3161,-33.5552,151.2166,-33.5297
,,151.3161,-33.5552,151.2166,-33.5298
,,151.3161,-33.5553,151.2167,-33.5298
,,151.3161,-33.5553,151.2168,-33.5299
,,151.3162,-33.5553,151.2168,-33.5299
,,151.3162,-33.5553,151.2168,-33.53
,,151.3162,-33.5553,151.2168,-33.53
,,151.3162,-33.5553,151.2168,-33.53
,,151.3163,-33.5554,151.2168,-33.5301
,,151.3163,-33.5554,151.2168,-33.5301
,,151.3163,-33.5554,151.2167,-33.5301
,,151.3163,-33.5554,151.2167,-33.5303
,,151.3163,-33.5554,151.2167,-33.5305
,,151.3164,-33.5555,151.2165,-33.5307
,,151.3164,-33.5555,151.2164,-33.5311
,,151.3164,-33.5555,151.2164,-33.5313
,,151.3164,-33.5555,151.2164,-33.5315
,,151.3164,-33.5556,151.2164,-33.5315
,,151.3165,-33.5556,151.2164,-33.5318
,,151.3165,-33.5556,151.2163,-33.5319
,,151.3165,-33.5556,151.2162,-33.532
,,151.3165,-33.5556,151.2161,-33.5321
,,151.3166,-33.5556,151.216,-33.5323
,,151.3166,-33.5556,151.2158,-33.5325
,,151.3166,-33.5556,151.2154,-33.5328
,,151.3167,-33.5556,151.2153,-33.5328
,,151.3167,-33.5556,151.2151,-33.5329
,,151.3167,-33.5556,151.2147,-33.533
,,151.3167,-33.5556,151.2146,-33.5331
,,151.3168,-33.5556,151.2141,-33.5332
,,151.3168,-33.5556,151.2139,-33.5332
,,151.3168,-33.5556,151.2138,-33.5332
,,151.3168,-33.5556,151.2135,-33.5333
,,151.3169,-33.5556,151.2134,-33.5333
,,151.3169,-33.5557,151.2133,-33.5333
,,151.3169,-33.5557,151.2125,-33.5333
,,151.3169,-33.5557,151.2122,-33.5333
,,151.317,-33.5557,151.2118,-33.5333
,,151.317,-33.5557,151.211,-33.5334
,,151.317,-33.5557,151.2108,-33.5334
,,151.3171,-33.5557,151.2104,-33.5335
,,151.3171,-33.5557,151.2102,-33.5335
,,151.3171,-33.5557,151.2099,-33.5334
,,151.3172,-33.5558,151.2095,-33.5333
,,151.3172,-33.5558,151.2087,-33.5334
,,151.3172,-33.5558,151.2084,-33.5334
,,151.3173,-33.5558,151.2083,-33.5333
,,151.3173,-33.5558,151.2075,-33.5333
,,151.3173,-33.5558,151.2074,-33.5333
,,151.3173,-33.5559,151.207,-33.5331
,,151.3174,-33.5559,151.207,-33.5331
,,151.3174,-33.5559,151.2068,-33.5331
,,151.3175,-33.556,151.2067,-33.5331
,,151.3176,-33.556,151.2065,-33.5331
,,151.3176,-33.556,151.2064,-33.5331
,,151.3176,-33.556,151.2063,-33.5331
,,151.3177,-33.556,151.2061,-33.5331
,,151.3177,-33.556,151.206,-33.5331
,,151.3178,-33.556,151.2059,-33.5332
,,151.3179,-33.5561,151.2057,-33.5332
,,151.3179,-33.5561,151.2055,-33.5332
,,151.3179,-33.5561,151.2054,-33.5332
,,151.318,-33.5561,151.2053,-33.5332
,,151.318,-33.5561,151.2052,-33.5332
,,151.318,-33.5561,151.2052,-33.5332
,,151.318,-33.5561,151.2051,-33.5332
,,151.3181,-33.5561,151.205,-33.5331
,,151.3181,-33.5561,151.2049,-33.5331
,,151.3181,-33.5561,151.2048,-33.5331
,,151.3182,-33.5561,151.2047,-33.5331
,,151.3182,-33.5561,151.2046,-33.533
,,151.3182,-33.5562,151.2046,-33.533
,,151.3182,-33.5562,,
,,151.3183,-33.5562,,
,,151.3183,-33.5562,,
,,151.3184,-33.5562,,
,,151.3184,-33.5562,,
,,151.3185,-33.5562,,
,,151.3186,-33.5562,,
,,151.3186,-33.5562,,
,,151.3187,-33.5562,,
,,151.3187,-33.5562,,
,,151.3187,-33.5562,,
,,151.3188,-33.5562,,
,,151.3188,-33.5563,,
,,151.3188,-33.5563,,
,,151.3189,-33.5563,,
,,151.319,-33.5563,,
,,151.319,-33.5563,,
,,151.3191,-33.5563,,
,,151.3191,-33.5563,,
,,151.3191,-33.5563,,
,,151.3192,-33.5563,,
,,151.3192,-33.5563,,
,,151.3192,-33.5563,,
,,151.3192,-33.5563,,
,,151.3192,-33.5564,,
,,151.3193,-33.5564,,
,,151.3193,-33.5564,,
,,151.3193,-33.5564,,
,,151.3194,-33.5564,,
,,151.3194,-33.5564,,
,,151.3194,-33.5564,,
,,151.3194,-33.5564,,
,,151.3194,-33.5564,,
,,151.3195,-33.5564,,
,,151.3195,-33.5564,,
,,151.3195,-33.5564,,
,,151.3196,-33.5564,,
,,151.3196,-33.5565,,
,,151.3196,-33.5565,,
,,151.3196,-33.5565,,
,,151.3197,-33.5565,,
,,151.3197,-33.5565,,
,,151.3197,-33.5565,,
,,151.3197,-33.5565,,
,,151.3198,-33.5565,,
,,151.3198,-33.5565,,
,,151.3198,-33.5565,,
,,151.3198,-33.5565,,
,,151.3199,-33.5565,,
,,151.3199,-33.5565,,
,,151.3199,-33.5565,,
,,151.3199,-33.5565,,
,,151.32,-33.5565,,
,,151.32,-33.5565,,
,,151.32,-33.5566,,
,,151.32,-33.5566,,
,,151.3201,-33.5566,,
,,151.3202,-33.5566,,
,,151.3202,-33.5566,,
,,151.3202,-33.5566,,
,,151.3203,-33.5566,,
,,151.3203,-33.5566,,
,,151.3203,-33.5566,,
,,151.3203,-33.5566,,
,,151.3204,-33.5566,,
,,151.3204,-33.5566,,
,,151.3204,-33.5566,,
,,151.3204,-33.5566,,
,,151.3205,-33.5566,,
,,151.3205,-33.5567,,
,,151.3206,-33.5567,,
,,151.3206,-33.5567,,
,,151.3206,-33.5567,,
,,151.3206,-33.5567,,
,,151.3206,-33.5567,,
,,151.3206,-33.5567,,
,,151.3207,-33.5568,,
,,151.3207,-33.5568,,
,,151.3207,-33.5568,,
,,151.3207,-33.5568,,
,,151.3207,-33.5568,,
,,151.3208,-33.5568,,
,,151.3208,-33.5568,,
,,151.3208,-33.5569,,
,,151.3208,-33.5569,,
,,151.3208,-33.5569,,
,,151.3208,-33.5569,,
,,151.3208,-33.557,,
,,151.3208,-33.557,,
,,151.3208,-33.557,,
,,151.3208,-33.5571,,
,,151.3209,-33.5571,,
,,151.3209,-33.5571,,
,,151.3209,-33.5571,,
,,151.3209,-33.5572,,
,,151.3209,-33.5572,,
,,151.3209,-33.5572,,
,,151.3209,-33.5572,,
,,151.3209,-33.5572,,
,,151.3209,-33.5573,,
,,151.3208,-33.5573,,
,,151.3208,-33.5573,,
,,151.3208,-33.5573,,
,,151.3208,-33.5573,,
,,151.3208,-33.5574,,
,,151.3208,-33.5574,,
,,151.3208,-33.5574,,
,,151.3208,-33.5575,,
,,151.3207,-33.5575,,
,,151.3207,-33.5575,,
,,151.3207,-33.5575,,
,,151.3207,-33.5575,,
,,151.3207,-33.5576,,
,,151.3207,-33.5576,,
,,151.3207,-33.5577,,
,,151.3207,-33.5577,,
,,151.3207,-33.5577,,
,,151.3207,-33.5577,,
,,151.3207,-33.5578,,
,,151.3207,-33.5578,,
,,151.3207,-33.5579,,
,,151.3207,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3206,-33.5579,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3205,-33.558,,
,,151.3204,-33.558,,
,,151.3204,-33.5581,,
,,151.3204,-33.5581,,
,,151.3204,-33.5581,,
,,151.3204,-33.5581,,
,,151.3204,-33.5582,,
,,151.3204,-33.5582,,
,,151.3204,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3203,-33.5582,,
,,151.3202,-33.5583,,
,,151.3202,-33.5583,,
,,151.3202,-33.5583,,
,,151.3202,-33.5583,,
,,151.3201,-33.5583,,
,,151.3201,-33.5583,,
,,151.3201,-33.5583,,
,,151.3201,-33.5583,,
,,151.32,-33.5584,,
,,151.32,-33.5584,,
,,151.32,-33.5584,,
,,151.32,-33.5584,,
,,151.3199,-33.5584,,
,,151.3199,-33.5584,,
,,151.3199,-33.5584,,
,,151.3199,-33.5584,,
,,151.3198,-33.5584,,
,,151.3198,-33.5584,,
,,151.3198,-33.5584,,
,,151.3197,-33.5584,,
,,151.3197,-33.5585,,
,,151.3197,-33.5585,,
,,151.3197,-33.5585,,
,,151.3196,-33.5585,,
,,151.3196,-33.5585,,
,,151.3196,-33.5585,,
,,151.3196,-33.5584,,
,,151.3195,-33.5584,,
,,151.3195,-33.5584,,
,,151.3195,-33.5584,,
,,151.3194,-33.5584,,
,,151.3194,-33.5584,,
,,151.3194,-33.5584,,
,,151.3194,-33.5585,,
,,151.3193,-33.5585,,
,,151.3193,-33.5585,,
,,151.3193,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3192,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5585,,
,,151.3191,-33.5586,,
,,151.319,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3189,-33.5586,,
,,151.3188,-33.5586,,
,,151.3188,-33.5586,,
,,151.3188,-33.5586,,
,,151.3187,-33.5586,,
,,151.3187,-33.5586,,
,,151.3187,-33.5586,,
,,151.3186,-33.5586,,
,,151.3186,-33.5586,,
,,151.3185,-33.5586,,
,,151.3185,-33.5585,,
,,151.3185,-33.5585,,
,,151.3184,-33.5585,,
,,151.3184,-33.5585,,
,,151.3184,-33.5585,,
,,151.3183,-33.5585,,
,,151.3183,-33.5585,,
,,151.3182,-33.5585,,
,,151.3182,-33.5585,,
,,151.3182,-33.5585,,
,,151.3181,-33.5585,,
,,151.3181,-33.5585,,
,,151.3181,-33.5586,,
,,151.318,-33.5586,,
,,151.318,-33.5586,,
,,151.318,-33.5585,,
,,151.318,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3179,-33.5585,,
,,151.3178,-33.5585,,
,,151.3178,-33.5585,,
,,151.3178,-33.5585,,
,,151.3177,-33.5585,,
,,151.3177,-33.5585,,
,,151.3176,-33.5584,,
,,151.3176,-33.5584,,
,,151.3176,-33.5584,,
,,151.3176,-33.5584,,
,,151.3175,-33.5584,,
,,151.3175,-33.5584,,
,,151.3174,-33.5584,,
,,151.3174,-33.5584,,
,,151.3174,-33.5584,,
,,151.3174,-33.5584,,
,,151.3173,-33.5583,,
,,151.3173,-33.5583,,
,,151.3172,-33.5583,,
,,151.3172,-33.5583,,
,,151.3171,-33.5583,,
,,151.3171,-33.5583,,
,,151.317,-33.5583,,
,,151.317,-33.5583,,
,,151.317,-33.5582,,
,,151.317,-33.5582,,
,,151.3169,-33.5582,,
,,151.3169,-33.5582,,
,,151.3169,-33.5582,,
,,151.3168,-33.5582,,
,,151.3168,-33.5581,,
,,151.3168,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3167,-33.5581,,
,,151.3166,-33.5581,,
,,151.3166,-33.558,,
,,151.3166,-33.558,,
,,151.3166,-33.558,,
,,151.3166,-33.558,,
,,151.3165,-33.558,,
,,151.3165,-33.558,,
,,151.3164,-33.558,,
,,151.3164,-33.558,,
,,151.3164,-33.5579,,
,,151.3163,-33.5579,,
,,151.3163,-33.5579,,
,,151.3163,-33.5579,,
,,151.3163,-33.5578,,
,,151.3163,-33.5578,,
,,151.3163,-33.5578,,
,,151.3163,-33.5578,,
,,151.3162,-33.5578,,
,,151.3162,-33.5578,,
,,151.3162,-33.5577,,
,,151.3162,-33.5577,,
,,151.3161,-33.5577,,
,,151.3161,-33.5577,,
,,151.3161,-33.5577,,
,,151.3161,-33.5576,,
,,151.3161,-33.5576,,
,,151.3161,-33.5576,,
,,151.3161,-33.5576,,
,,151.316,-33.5575,,
,,151.316,-33.5575,,
,,151.316,-33.5575,,
,,151.316,-33.5574,,
,,151.3159,-33.5574,,
,,151.3159,-33.5574,,
,,151.316,-33.5574,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5573,,
,,151.316,-33.5572,,
,,151.316,-33.5572,,
,,151.316,-33.5572,,
,,151.316,-33.5571,,
,,151.316,-33.5571,,
,,151.316,-33.5571,,
,,151.316,-33.5571,,
,,151.316,-33.557,,
,,151.316,-33.557,,
,,151.316,-33.557,,
,,151.316,-33.557,,
,,151.316,-33.5569,,
,,151.316,-33.5569,,
,,151.316,-33.5569,,
,,151.316,-33.5569,,
,,151.316,-33.5568,,
,,151.316,-33.5568,,
,,151.316,-33.5568,,
,,151.316,-33.5568,,
,,151.316,-33.5567,,
,,151.316,-33.5567,,
,,151.316,-33.5567,,
,,151.316,-33.5567,,
,,151.316,-33.5566,,
,,151.316,-33.5566,,
,,151.316,-33.5565,,
,,151.316,-33.5565,,
,,151.316,-33.5565,,
,,151.316,-33.5564,,
,,151.3159,-33.5564,,
,,151.3159,-33.5564,,
,,151.3159,-33.5564,,
,,151.3158,-33.5563,,
,,151.3158,-33.5563,,
,,151.3158,-33.5563,,
,,151.3157,-33.5562,,
,,151.3156,-33.5562,,
,,151.3156,-33.5562,,
,,151.3156,-33.5561,,
,,151.3155,-33.5561,,
,,151.3155,-33.5561,,
,,151.3154,-33.5561,,
,,151.3154,-33.5561,,
,,151.3154,-33.5561,,
,,151.3153,-33.5561,,
,,151.3153,-33.5561,,
,,151.3153,-33.5561,,
,,151.3152,-33.5561,,
,,151.3152,-33.5561,,
,,151.3151,-33.556,,
,,151.3151,-33.556,,
,,151.3151,-33.556,,
,,151.3151,-33.556,,
,,151.3151,-33.556,,
,,151.315,-33.556,,
,,151.315,-33.5559,,
,,151.315,-33.5559,,
,,151.315,-33.5559,,
,,151.315,-33.5558,,
,,151.315,-33.5558,,
